Solubility,compound,solvent,set
-0.67869985,NNC(=O)c1sccn1,,train
-1.13,CN(CC(=O)NCCC(=O)NC1=NN=C(S1)[S](N)(=O)=O)C(N)=N,,train
-2.26,NC1=CC(=C(O)C=C1)C(O)=O,,train
0.74521244,COC1OC(CO)C(O)C(O)C1O,,train
-3.5188,CCCC[Sn](Cl)(Cl)CCCC,,train
-0.99,CCN(CC)C(=O)CCC(=O)OC[N]1N=CC2=C1N=CNC2=O,,train
-6.905874,CCCCCCCCCCCCCCCC(=O)OCC(O)[C@H]1OC[C@@H](O)[C@@H]1O,,train
-1.952,[O-]C(=O)c1cc(Br)ccc1Cl,,train
-4.6063886,CO[Si](CCCOC(=O)C=C)(OC)OC,,train
-1.743928,Cn1c2ccccc2c(C=CC3=[N+](C)c4ccccc4C3(C)C)c1c5ccccc5,,train
-1.33,NS(=O)(=O)C1=CC2=C(O1)SC(CNCC1=CC=CC=N1)=C2,,train
-5.3,COC1=CC2=C(C=C1OC)C(=NC=N2)N3CCN(CC3)C(=O)NC4=CSC=C4,,train
-0.9304017,CN(CCC#N)c1ccc(cc1)C=CC2=[N+](C)c3ccccc3C2(C)C.O[P](O)([O-])=O,,train
-2.4421,CCO[P](=S)(OCC)SC[S](=O)C(C)(C)C,,train
-1.3269,CC[C@@]12CCCN3CC[C@@]4([C@@H](CC1)N(C(C)=O)c5c(OC)cccc45)[C@@H]23,,train
0.8755001,CC[NH+](CCO)CCO,,train
-1.011,CCCC1CCCNC1,,train
0.08289992,Cl/C=C/C[N+]12CN3CN(CN(C3)C1)C2,,train
-3.71,CN1C(=O)CN=C(C2=CC=CC=C2)C2=C1C=CC(Cl)=C2,,train
-1.32,BrC=CBr,,train
-3.1,COC1=NN(CS[P](=S)(OC)OC)C(=O)S1,,train
-4.38,CCN1C=C(C(=O)O)C(=O)C2=C1C=C1OCOC1=C2,,train
-1.2757105,CCN1CCCCC1,,train
-7.483,CC(C)(C)N1N=CC(=C(Cl)C1=O)SCc2ccc(cc2)C(C)(C)C,,train
-7.8092,Clc1ccc(cc1)C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl,,train
0.93862283,CN(C)C(=N)N(C)C,,train
-4.4095,CCOC(=O)CCCOc1ccc(Cl)cc1C,,train
-4.4325,CC(=C)C(=O)Nc1ccc(Cl)c(Cl)c1,,train
-1.5614,CN1C(=O)NC2=C(NC(=O)N2)C1=O,,train
0.5854,NCCCCCC(O)=O,,train
-1.6105,ClCCO[P](=O)(OCCCl)OCCCl,,train
