MP,compound,solvent,set
237,O=[N+]([O-])c1c(cccc1Cl)C(=O)O,,train
260.5,O=S(N)(=O)c1nnc(NC(C)=O)s1,,train
-55,CC(C)CCCCC(C)C,,train
58.5,COC1=C(OC)C(=O)C(C)=CC1=O,,train
115,Oc1cc(C)c(Cl)c(C)c1,,train
119,c1ccc2c(c1)c3c([nH]2)CCCC3,,train
-5.0000014,CCCCCCCCCC=O,,train
146,c1ccc(c(c1)CC(=O)O)O,,train
101,C1=CC=C2C(=C1)C=CC3=CC=CC=C32,,train
-89,CCCCO,,train
-143,CCC1CCC1,,train
-139,BrC=C,,train
-20.000002,O=C(CCC(=O)OCC)OCC,,train
-14.000001,C(C(CCl)Cl)Cl,,train
69,COC(=O)c1cc(ccc1N)Cl,,train
-10.000001,c1cc(cc(c1)Cl)N,,train
-48,C=C(C)C(=O)OC,,train
31,C1CCC(CC1)C(=O)O,,train
105,CC1(C(=O)NC(=O)N1CO)C,,train
42,COC(=O)c1cccnc1,,train
40,Clc1cc(OC)cc(Cl)c1,,train
30.499998,O=[N+]([O-])c1ccc(Cl)cc1Cl,,train
15.999999,CCCCCCCCCCCCCCCCC=C,,train
89,c1c(c(c(c(c1F)F)NN)F)F,,train
91,N1=C2C=CC=CC2=C(C)C1c1ccccc1,,train
-96,CCc1cccc(c1)C,,train
89,COc1cc(ccc1O)O,,train
14.000003,c1ccc2c(c1)cc(cn2)Br,,train
66,C1=CC(=CC=C1N)Br,,train
-41.999992,c1cc(ccc1C(F)(F)F)F,,train
-38.999992,C=CCC(=O)O,,train
90,c1cc(ccc1Cc2ccc(cc2)N)N,,train
63,C=Cn3c1ccccc1c2ccccc23,,train
106,c1ccc(cc1)CNC(=O)c2ccccc2,,train
72,COP(=S)(OC)SCN1N=Nc2ccccc2C1=O,,train
132,c1ccc(c(c1)c2nc3ccccc3s2)O,,train
-126,CC(C)(CC)CCC,,train
-28.000002,C(C(F)F)O,,train
104,C1C2C(C(C1Cl)Cl)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl,,train
-56.999992,C1C(O1)CCl,,train
228,c1cc(ccc1C(=O)NN)N,,train
50,O=C(C=C1Cc2ccccc21)c1ccccc1,,train
37,O=[N+]([O-])c2ccccc2c1ccccc1,,train
-97,ClCCl,,train
275,C(C(C(=O)O)N)C(=O)O,,train
25.999998,C=CCOc1nc(nc(OCC=C)n1)OCC=C,,train
103,c1ccc2c(c1)-c3ccccc3C2Br,,train
-34,COB(OC)OC,,train
92,CNCCCC13CCC(c2ccccc12)c4ccccc34,,train
40,c1cc(ccc1C(=O)Cl)Br,,train
-110,CCC=1CCCCC=1,,train
51,Oc1ccccc1C=Nc2ccccc2,,train
10.999999,BrC(Br)(CBr)CBr,,train
173,COc1ccc(cc1)/C=C/C(=O)O,,train
134.5,O=C(O)CCCCCCCCC(=O)O,,train
72,Cc1cccc(c1C)O,,train
141,c1c(cc(c(c1F)C(=O)O)F)F,,train
44,c1cc(sc1)[N+](=O)[O-],,train
111,CC1=CC(=O)C(C(=O)O1)C(=O)C,,train
109,Clc1ccc(cc1)C(C(Cl)Cl)c2ccc(Cl)cc2,,train
89,CCOc1ccc(cc1)CC(=O)O,,train
69,c1ccc(cc1)Nc2ccc(cc2)O,,train
342,OC(=O)c1cccc(c1)C(=O)O,,train
-143.99998,CC1(CC)CCCC1,,train
-40.999992,CC(C)(C)C1CCCCC1,,train
243,CN(C)c1ccc(cc1)C(=O)O,,train
170,O=C3c4ccccc4c2cccc1cccc3c12,,train
-82,Cc1cccc(c1)C=C,,train
60,COc1cc(ccc1OC)C(=O)OC,,train
