logD,compound,solvent,set
2.9,CCCC(=O)NCc1cncc(-c2ccc(F)cc2OC)c1,,train
2.27,O=c1cc(-c2cccnc2)[nH]c2cc(C(O)c3ccccc3)ccc12,,train
1.04,O=C1COc2ccccc2N1CCN1CCC(NCc2cc3c(cn2)OCCO3)CC1,,train
2.22,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NC[C@H](O)CN1CCOCC1,,train
1.84,CCN(C(=O)Cc1ccc(S(C)(=O)=O)cc1)C1CCN(CCC(c2ccccc2)c2ccc(NS(C)(=O)=O)cc2)CC1,,train
3.22,COc1cc(Nc2cc(Oc3cc(C)c(C)nc3-c3ccccn3)ccn2)cc(OC)c1OC,,train
3.48,CN1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1,,train
0.20000008,COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1,,train
3.49,COc1ccc(C(=O)Nc2cc(NC(=O)c3cccc(N(C)C)c3)ccc2Br)cc1OC,,train
2.78,COCCNC(=O)c1ccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)cc1C,,train
2.58,O=[N+]([O-])c1ccc2c(c1)nc1n2CCCCC1,,train
2.2,CC(=O)N1CCN(CCOc2ccc(C3(O)CCN(c4ccc5nnc(C(F)(F)F)n5n4)CC3)cc2)CC1,,train
3.63,CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,,train
2.58,CC(=O)Nc1ccc2ccn(-c3cc(NCCCCO)n4ncc(C#N)c4n3)c2c1,,train
3.2,CNc1nc(C)c(-c2nc(Nc3cccc(N4CCCN(C(C)=O)CC4)c3)ncc2C#N)s1,,train
1.3,Cc1nc(C)c(-c2ccc(C34CCC(C(=O)O)(CC3)CC4)cc2)nc1C(N)=O,,train
2.8,CC(=O)Nc1nc(-c2ccccc2)ns1,,train
-1.18,COc1cc(OC)c(S(=O)(=O)N2c3ccccc3CCC2C)cc1NC(=O)CSCC(=O)O,,train
3.1,C=CCN(C(=O)Cc1ccc(S(C)(=O)=O)cc1)C1CCN(CCC(c2ccccc2)c2ccccc2)CC1,,train
2.14,O=C(O)[C@@H](c1ccccc1)N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,,train
-1.4999999,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,,train
2.18,O=C(NCC12CC3CC(CC(C3)C1)C2)c1cc(O[C@H]2CCCNC2)ccc1Cl,,train
2.48,Nc1cc2n[nH]c(=O)n2c2cc(-c3ccco3)ccc12,,train
3.1,CC(=O)NC(C)c1ccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)cc1,,train
1.48,CC(C)C(NC(=O)Cn1c(-c2ccccc2)ccc(NC(=O)NCc2ccc[n+]([O-])c2)c1=O)C(=O)C(F)(F)F,,train
3.22,COc1cc2ncc(C(N)=O)c(Nc3ccc(F)c(Cl)c3)c2cc1OC,,train
3.37,CC(C)(CO)Nc1nc(SCc2cccc(F)c2F)nc2nc(N)sc12,,train
-0.4900001,Cc1nc(NC(=N)N)nc2ccccc12,,train
0.42,O=C(COc1ccc(OCCNCC(O)COc2ccccc2)cc1)NCCO,,train
1.19,Clc1ccc2ncc(-c3cccc(NC4CNC4)n3)n2c1,,train
3.2,COc1ccc2nc(C)cc(OCC(=O)NCc3ccccc3)c2c1,,train
2.28,O=c1[nH]c2c(O)ccc([C@@H](O)CNCCCOCCOCCc3cccc4ccccc34)c2s1,,train
1.88,CCC(CC)n1nc(C)c(C(=O)N[C@@H](C)C(C)(C)C)c1NS(=O)(=O)c1ccc(C)cc1,,train
4.4,CC(=O)Nc1cccc(Nc2ncnc(N3CCC(OCc4ccc(OC(F)(F)F)cc4)CC3)n2)c1C,,train
3.61,CC#CCn1c(=O)c2c(-c3cncn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,,train
3.93,CC(C)(C)C(=O)NCc1ccc(NC(=O)N2CCCC(O)(c3ccc(Cl)c(Cl)c3)C2)cc1,,train
2.97,CSc1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,,train
0.36000004,N=C(N)c1ccc(C(=O)N2CCN(S(=O)(=O)c3ccc4cc(Br)ccc4c3)CC2)cc1,,train
1.73,Cc1nc(CSc2nc(N[C@H](C)CO)c3sc(N)nc3n2)cs1,,train
3.1,CCCc1c(OCc2ccc(-c3nn[nH]n3)cc2)ccc(C(C)=O)c1O,,train
-0.6899999,O=C(O)COc1ccc([N+](=O)[O-])cc1-c1ccccc1,,train
2.42,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)OC)C(c1ccccc1)c1ccccc1)C1CCCCC1,,train
3.44,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)[C@H](C)C(N)=O,,train
2.85,CCCSc1ncccc1C(=O)NC1CCC(F)(F)CC1,,train
3.1,O=C(/C=C/Sc1nc[nH]n1)c1ccc(Cl)cc1,,train
3.3,CC#Cc1cncc(-c2cccc(C3(C4CC4)N=C(C)C(N)=N3)c2)c1,,train
1.6,Cc1c(Sc2ccc(Cl)cc2)c2c(C#N)c(Cl)ccc2n1CC(=O)O,,train
3.2,COc1cc(F)ccc1-c1cncc(CNC(=O)c2ccccn2)c1,,train
3.5,COc1ccc(C(=O)Nc2cccc(NC(=O)c3ccc(OC)c(OC)c3)n2)cc1OC,,train
2.83,CN(C)CCC=C1c2ccccc2C=Cc2ccccc21,,train
-0.33,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,,train
1.42,COc1ccc(/C=C2\SC(=S)NC2=O)cc1OC,,train
2.49,Cc1ncc(-c2nc(Nc3ccc(C(=O)N4CCN(C)CC4)cc3)ncc2F)n1C(C)C,,train
2.29,CN(C)CCNC(=O)c1ccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)cc1,,train
1.22,O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O,,train
3.18,CC(C)Cn1c(=O)n(C)c(=O)c2c(C(=O)N3CC(C)(O)C3)c(Cc3ccccc3C(F)(F)F)sc21,,train
1.44,COC[C@@H](O)Cn1c(=O)cnn(-c2ccc(Cl)c(C(=O)NCC3(O)CCCCCC3)c2)c1=O,,train
1.58,O=C(Oc1ccc(Br)cc1)N1CCN2CCC1CC2,,train
3.6,CN(C)C(=O)[C@H](O)[C@H](Cc1ccccc1)NC(=O)c1cc2cc(Cl)ccc2[nH]1,,train
