Name,Formula,SMARTS,Priority,,
Sulfur,S,[S;!R],-1,,
Nitrogen,N,[N;!R],-1,,
Oxygen,O,[O;!R],-1,,
Alkane,RH,[C;!R],-1,,
Methyl,C,[CH3],0,,
Ethyl,CC,[CH2][CH3],0,,
Prophyl,CCC,[CH2][CH2][CH3],0,,
Alkene,R2C=CR2,[C;!R]=[C;!R],1,,
Alkyne,RC≡CR',[C;!R]#[C;!R],1,,
Allene,R2C=C=CR2,[C;!R]=[C;!R]=[C;!R],1,,
Cumulene,R2C=C=C=CR2,[C;!R]=[C;!R]=[C;!R]=[C;!R],1,,
Fluoro,RF,F,1,,
Chloro,RCl,[Cl],1,,
Bromo,RBr,[Br],1,,
Iodo,RI,I,1,,
Ether,ROR',[OH0;!R],1,,
Alcohol,ROH,[OH1],1,,
Aldehyde,RCHO,[CH1;!R]=O,1,,
Ketone-O,RCOR',[OX1;+0],1,,
Ketone,RCOR',[CX3;!R]=O,1,,
Amine,RNH2,[NH2],1,,
Aldimine / Imine,RCHNH2,[CH1]=[NH1],1,,
Nitrile / Cyanide,,C#N,1,,
Isocyanide / Isonitrile,,[N+]#[C-],1,,
Azide,,N=[N+]=[N-],1,,
Azo compound / Diimide / Diazene,,[NH0]=[NH0],1,,
Diazonium salt,,[N+]#N,1,,
Hydrazine,,[NX3][NX3],1,,
Enamine,,C=CN,1,,`
Hydroxylamine,,N[OH1],1,,
Amine oxide / N-oxide,,[N+;D4][O-],1,,
Cyanate,,OC#N,1,,
Isocyanate,,N=C=O,1,,
Nitro compound,,[N+](=O)[O-],1,,
Nitroso,,N=O,1,,
Nitrite,,ON=O,1,,
Nitrate,,O[N+](=O)[O-],1,,
Thioether,RSR',[SD2],1,,
Thiol,RSH,[SH1],1,,
Thial / Thioaldehyde,RCHS,[CH1](=S),1,,
Thione / Thioketone,RCSR',[CD3](=S),1,,
phosphate,,P(=O)(O)(O)(O),1,,
Carboxylic Acid,RCO2H,[CH0;!R](=O)[OH1],2,,
Acyl halide,RCOX,"[CH0;!R](=O)[F,Cl,I,Br]",2,,
Ester,RCO2R',[CH0;!R](=O)[OH0],2,,
Hydroperoxide,ROOH,[OH0][OH1],2,,
Peroxide,ROOR',[OH0;!R][OH0;!R],2,,
Ketene,RC(=C=O)R',[CX3]=C=O,2,,
Ketimine / Imine,,[CX3]=[NH0],2,,
Ketenimine,,[CX3]=C=N,2,,
Carbodiimide,,[NH0]=C=[NH0],2,,
Amidine,,[CH0;!R](=[NH1])[NH2],2,,
Amidrazone,,[CH0;!R](=[NH1])[NH1][NH2],2,,
Guanidine,,N[CH0;!R](=[NH1])[NH1][NH2],2,,
Hydrazone,,[CX3;!R]=N[NH2],2,,
Aminal,,[CX4;!R](N)(N),2,,
Hemiaminal,,[CX4;!R](N)O,2,,
Aldoxime,,[CH1]=N[OH1],2,,
Ketoxime,,[CH0;D3]=N[OH1],2,,
Aldoxime ether,,[CH1]=N[OH0],2,,
Ketoxime ether,,[CH0;X3]=N[OH0],2,,
Amide,,[CH0;!R](=O)N,2,,
Carbamic acid,,NC(=O)[OH1],2,,
Carbamate,,NC(=O)[OH0],2,,
Urea,,NC(=O)N,2,,
Isourea,,NC(=[NH1])O,2,,
Carbamic acyl halide,,"NC(=O)[F,Cl,I,Br]",2,,
Acyl cyanide,,[CH0](=O)C#N,2,,
[[Thioic O-acid]],RC(S)OH,[CH0](=S)[OH1],2,,
[[Thioic S-acid]],RC(O)SH,[CH0](=O)[SH1],2,,
Dithioic acid,RCS2H,[CH0](=S)[SH1],2,,
Thioyl_halide,RCSX,"[CH0](=S)[F,Cl,Br,I]",2,,
[[Thioic O-ester]],RC(S)OR',[CH0](=S)[OH0],2,,
[[Thioic S-ester]],RC(O)SR',[CH0](=O)[SH0],2,,
Dithioic ester,RCS2R',[CH0](=S)[SH0],2,,
Sulfuric acid,SO3,[SH0](=O)(=O)O,3,,
Peroxy acid,RCO3H,[CH0;!R](=O)O[OH1],3,,
Anhydride,RCOOCOR',[CH0;!R](=O)O[CH0](=O),3,,
Carbonate,ROCOOR',[OH0;!R]C(=O)[OH0],3,,
Hydrate,RC(OH)(OH)R',[CD4]([OH1])[OH1],3,,
Hemiacetal,RCH(OR')(OH),[CH1]([OH0])[OH1],3,,
Acetal,RCH(OR')(OR''),[CH1]([OH0])[OH0],3,,
Hemiketal,RC(OR'')(OH)R',[CX4]([OH0])[OH1],3,,
Ketal,RC(OR'')(OR''')R',[CX4]([OH0])[OH0],3,,
